song_name,artists,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Money Longer,['Lil Uzi Vert'],80,0.795,0.568,5,-7.817,0,0.142,0.0541,0,0.108,0.478,136.173,audio_features,0B8QzDH7YWih85V5SEMnyJ,spotify:track:0B8QzDH7YWih85V5SEMnyJ,https://api.spotify.com/v1/tracks/0B8QzDH7YWih85V5SEMnyJ,https://api.spotify.com/v1/audio-analysis/0B8QzDH7YWih85V5SEMnyJ,198944,4
Uber Everywhere,['MadeinTYO'],73,0.779,0.455,1,-15.025,1,0.28,0.0542,0,0.177,0.197,140.181,audio_features,7zBPzAjKAqQpcv8F8GCq5s,spotify:track:7zBPzAjKAqQpcv8F8GCq5s,https://api.spotify.com/v1/tracks/7zBPzAjKAqQpcv8F8GCq5s,https://api.spotify.com/v1/audio-analysis/7zBPzAjKAqQpcv8F8GCq5s,153429,4
No Problem (feat. Lil Wayne & 2 Chainz),"['Chance The Rapper', 'Lil Wayne', '2 Chainz']",79,0.652,0.795,11,-5.192,0,0.174,0.156,0,0.123,0.788,135.018,audio_features,0v9Wz8o0BT8DU38R4ddjeH,spotify:track:0v9Wz8o0BT8DU38R4ddjeH,https://api.spotify.com/v1/tracks/0v9Wz8o0BT8DU38R4ddjeH,https://api.spotify.com/v1/audio-analysis/0v9Wz8o0BT8DU38R4ddjeH,304607,4
THat Part,"['ScHoolboy Q', 'Kanye West']",70,0.919,0.519,6,-7.639,0,0.0902,0.0886,0,0.135,0.326,112.991,audio_features,2yJ9GVCLMmzBBfQAnfzlwr,spotify:track:2yJ9GVCLMmzBBfQAnfzlwr,https://api.spotify.com/v1/tracks/2yJ9GVCLMmzBBfQAnfzlwr,https://api.spotify.com/v1/audio-analysis/2yJ9GVCLMmzBBfQAnfzlwr,313573,4
Father Stretch My Hands Pt. 1,['Kanye West'],72,0.714,0.566,7,-4.408,1,0.056,0.142,1.25e-06,0.57,0.449,113.074,audio_features,4KW1lqgSr8TKrvBII0Brf8,spotify:track:4KW1lqgSr8TKrvBII0Brf8,https://api.spotify.com/v1/tracks/4KW1lqgSr8TKrvBII0Brf8,https://api.spotify.com/v1/audio-analysis/4KW1lqgSr8TKrvBII0Brf8,135920,4
Juju On That Beat (TZ Anthem) - DJ Taj and DJ Flex Remix,"['Zay Hilfigerrr', 'Zayion McCall', 'DJ Flex', 'DJ Taj']",30,0.808,0.919,1,-5.391,1,0.167,0.00476,1.11e-06,0.0625,0.64,154.009,audio_features,6VQ1iGUwAyFugBI73h1iqs,spotify:track:6VQ1iGUwAyFugBI73h1iqs,https://api.spotify.com/v1/tracks/6VQ1iGUwAyFugBI73h1iqs,https://api.spotify.com/v1/audio-analysis/6VQ1iGUwAyFugBI73h1iqs,102857,4
Chill Bill,"['Rob $tone', 'J. Davi$', 'Spooks']",80,0.886,0.427,6,-10.028,1,0.145,0.0312,0.00099,0.0906,0.23,108.034,audio_features,5uDASfU19gDxSjW8cnCaBp,spotify:track:5uDASfU19gDxSjW8cnCaBp,https://api.spotify.com/v1/tracks/5uDASfU19gDxSjW8cnCaBp,https://api.spotify.com/v1/audio-analysis/5uDASfU19gDxSjW8cnCaBp,177184,4
OOOUUU,['Young M.A'],71,0.64,0.819,7,-4.108,1,0.455,0.533,0,0.156,0.623,166.012,audio_features,0D21XvHcVsIvJM6FcGY2BT,spotify:track:0D21XvHcVsIvJM6FcGY2BT,https://api.spotify.com/v1/tracks/0D21XvHcVsIvJM6FcGY2BT,https://api.spotify.com/v1/audio-analysis/0D21XvHcVsIvJM6FcGY2BT,234526,4
Again,['Fetty Wap'],69,0.748,0.733,11,-4.421,0,0.072,0.0062,0,0.329,0.291,93.019,audio_features,3ESSGgWzRf1xvP7G5hHMhB,spotify:track:3ESSGgWzRf1xvP7G5hHMhB,https://api.spotify.com/v1/tracks/3ESSGgWzRf1xvP7G5hHMhB,https://api.spotify.com/v1/audio-analysis/3ESSGgWzRf1xvP7G5hHMhB,312240,4
Do It Like Me,['DLOW'],54,0.883,0.85,10,-4.053,0,0.361,0.308,0,0.368,0.711,150.138,audio_features,0z9hbAY5d0RhmvZr3DWMPK,spotify:track:0z9hbAY5d0RhmvZr3DWMPK,https://api.spotify.com/v1/tracks/0z9hbAY5d0RhmvZr3DWMPK,https://api.spotify.com/v1/audio-analysis/0z9hbAY5d0RhmvZr3DWMPK,146000,4
Hit the Quan - Throw the Flag Version,['iLoveMemphis'],54,0.747,0.486,8,-8.121,1,0.352,0.000176,0,0.0488,0.633,160.002,audio_features,4Kdn7vw98rMaKi3rMIZRIR,spotify:track:4Kdn7vw98rMaKi3rMIZRIR,https://api.spotify.com/v1/tracks/4Kdn7vw98rMaKi3rMIZRIR,https://api.spotify.com/v1/audio-analysis/4Kdn7vw98rMaKi3rMIZRIR,181081,4
"Pick up the Phone (Originally by Young Thug, Travis Scott and Quavo) - Karaoke Instrumental",['Karaoke Freaks'],14,0.787,0.58,2,-9.887,1,0.0378,0.393,0.742,0.245,0.516,139.547,audio_features,3u2rgzPzq1mf0TM7faP0NX,spotify:track:3u2rgzPzq1mf0TM7faP0NX,https://api.spotify.com/v1/tracks/3u2rgzPzq1mf0TM7faP0NX,https://api.spotify.com/v1/audio-analysis/3u2rgzPzq1mf0TM7faP0NX,249345,4
